" Población Total por Edades y Sexo"

"FECHA","1996",,,"1998",,,"1999",,,"2000",,,"2001",,,"2002",,,"2003",,,"2004",,,"2005",,,"2006",,,"2007",,,"2008",,,"2009",,,"2010",,,"2011",,,"2012",,,"2013",,,
"SEXO","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL","VARON","MUJER","TOTAL",
,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION,POBLACION
EDAD,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum
"  29",18863.701299,18627.174118,37490.875417,18844.974485,18098.295936,36943.270421,18911.420242,17923.401867,36834.822109,18659.969409,17870.902009,36530.871418,18924.954074,17732.018954,36656.973028,18986.459615,17891.594139,36878.053754,       18937,       17889,       36826,       19227,       18215,       37442,       19471,       18479,       37950,       20056,       18926,       38982,       19561,       18237,       37798,       20178,       18433,       38611,       19053,       17688,       36741,       18616,       17037,       35653,       17671,       16178,       33849,       16610,       15501,       32111,       15271,       14599,       29870
"  30",19267.383754,18560.458183,37827.841938,18997.064392,18437.381413,37434.445806,18680.101675,17821.725962,36501.827636,18913.549136,18005.106351,36918.655487,18609.843313,17858.934208,36468.777521,19052.590944,17789.730402,36842.321346,       18940,       17780,       36720,       18981,       17823,       36804,       19554,       18413,       37967,       19553,       18528,       38081,       20116,       18916,       39032,       20064,       18450,       38514,       20192,       18485,       38677,       18950,       17604,       36554,       18479,       16932,       35411,       17449,       16018,       33467,       16291,       15242,       31533
"  31",19592.566708,19075.432351,38667.999059,18874.960299,18372.079504,37247.039803,18858.101682, 18234.52337,37092.625052,18778.336999,17971.913043,36750.250042,18891.088151,17993.174405,36884.262556,18823.592632,17936.668698, 36760.26133,       19030,       17737,       36767,       18906,       17830,       36736,       19242,       18015,       37257,       19670,       18530,       38200,       19629,       18432,       38061,       20633,       19094,       39727,       20172,       18464,       38636,       19999,       18448,       38447,       18778,       17557,       36335,       18317,       16765,       35082,       17075,       15716,       32791
"  32",19751.462227, 18732.67985,38484.142077,  19150.8815,18647.658999,37798.540499,18653.372562,18188.814933,36842.187496,18957.770877,18346.980842,37304.751719,18771.103998,17971.937411,36743.041409, 19084.64284, 18090.75097, 37175.39381,       18819,       17881,       36700,       19034,       17794,       36828,       19111,       18045,       37156,       19348,       18128,       37476,       19721,       18522,       38243,       20164,       18661,       38825,       20672,       19110,       39782,       19972,       18439,       38411,       19923,       18460,       38383,       18600,       17466,       36066,       17975,       16558,       34533
"  33",19036.242083,18126.504991,37162.747074,19386.018244,19293.676446, 38679.69469,19035.812631,18481.569445,37517.382076,18739.616967,18347.456315,37087.073282,18974.113167,18369.308349,37343.421515,18915.635049,18104.650701, 37020.28575,       19131,       18168,       37299,       18915,       17921,       36836,       19244,       17963,       37207,       19321,       18234,       37555,       19459,       18131,       37590,       20301,       18750,       39051,       20241,       18656,       38897,       20466,       19107,       39573,       19874,       18409,       38283,       19666,       18309,       37975,       18373,       17309,       35682
"  34",18857.516614,18283.879317,37141.395931,19531.235954,18273.613115,37804.849069,19263.790621, 19119.54295,38383.333572,19288.545621,18670.487284,37959.032906,18895.260249,18371.208082,37266.468331,19125.697993,18462.833242,37588.531235,       18940,       18154,       37094,       19191,       18179,       37370,       19138,       18220,       37358,       19501,       18104,       37605,       19340,       18254,       37594,       19908,       18398,       38306,       20297,       18917,       39214,       20119,       18598,       38717,       20470,       19111,       39581,       19775,       18319,       38094,       19361,       18090,       37451
"  35",19284.266812,18060.974765,37345.241577,18892.792045,18247.740654,37140.532699,19426.676333,18147.263764,37573.940097,19457.553402,19321.115769,38778.669172,19370.320476,18733.405435,38103.725911,19044.628472,18481.753541,37526.382013,       19246,       18573,       37819,       19057,       18275,       37332,       19511,       18434,       37945,       19398,       18369,       37767,       19656,       18238,       37894,       19857,       18452,       38309,       19954,       18559,       38513,       20197,       18922,       39119,       20034,       18655,       38689,       20299,       19021,       39320,       19458,       18109,       37567
"  36",19447.315534,18327.177982,37774.493517,18908.675782,18012.079029,36920.754811,18866.821181,18211.402272,37078.223453,19519.830573,18262.151649,37781.982222,19543.384705,19355.582158,38898.966863,19537.797347,18845.830671,38383.628018,       19112,       18584,       37696,       19349,       18681,       38030,       19328,       18511,       37839,       19754,       18655,       38409,       19402,       18443,       37845,       20188,       18483,       38671,       19884,       18517,       38401,       19843,       18541,       38384,       20216,       18927,       39143,       19848,       18561,       38409,       19973,       18908,       38881
"  37",18616.190913,17467.603197, 36083.79411,19299.309951, 18369.31637,37668.626321,18885.543647,17992.739049,36878.282696,18974.845042,18407.785281,37382.630323,19622.216525, 18339.96638,37962.182905,19734.812777,19467.026067,39201.838844,       19663,       18965,       38628,       19269,       18671,       37940,       19619,       18890,       38509,       19566,       18660,       38226,       19868,       18752,       38620,       19952,       18714,       38666,       20292,       18591,       38883,       19850,       18595,       38445,       19790,       18501,       38291,       20097,       18869,       38966,       19544,       18417,       37961
"  38",18645.161874,17788.596102,36433.757976,19025.050607,17963.162971,36988.213578, 19305.41943,18403.768357,37709.187787,19010.858597,18098.896701,37109.755298,19116.219759,18483.028599,37599.248358,19767.756588,18446.637846,38214.394434,       19816,       19552,       39368,       19758,       19095,       38853,       19482,       18836,       38318,       19859,       19106,       38965,       19686,       18722,       38408,       20366,       18991,       39357,       19962,       18828,       38790,       20174,       18606,       38780,       19809,       18672,       38481,       19740,       18500,       38240,       19794,       18715,       38509
